global rank,uni name,overall score,international students ratio,international faculty ratio,faculty student ratio,citations_per_faculty,academic reputation,employer reputation,international research network,employment outcomes,sustainability,relative rank by year,year
31,Australian National University (ANU),80.0,99.6,100.0,40.1,77.8,95.6,77.6,,,,1,2021
40,The University of Sydney,77.1,100.0,100.0,21.4,69.6,97.4,95.3,,,,2,2021
41,The University of Melbourne,76.5,100.0,97.4,18.8,65.4,99.1,97.3,,,,3,2021
44,The University of New South Wales (UNSW Sydney),75.4,99.2,100.0,16.7,78.4,91.1,94.9,,,,4,2021
46,The University of Queensland,74.5,99.9,100.0,23.8,79.6,89.0,78.2,,,,5,2021
55,Monash University,70.9,100.0,100.0,14.1,64.2,90.0,88.7,,,,6,2021
92,The University of Western Australia,61.0,99.6,100.0,19.0,85.7,61.1,52.7,,,,7,2021
106,The University of Adelaide,56.8,99.1,99.8,25.5,77.8,55.5,37.0,,,,8,2021
133,University of Technology Sydney,52.6,94.9,98.1,8.8,74.4,45.3,78.8,,,,9,2021
196,University of Wollongong,43.2,86.0,91.8,19.2,71.0,31.3,34.5,,,,10,2021
197,"The University of Newcastle, Australia (UON)",43.1,44.6,99.9,32.4,64.7,33.5,27.9,,,,11,2021
214,"Macquarie University (Sydney, Australia)",40.8,97.5,97.2,21.8,44.5,31.6,49.6,,,,12,2021
217,Curtin University,40.5,50.2,100.0,16.8,60.6,32.4,43.4,,,,13,2021
217,Queensland University of Technology (QUT),40.5,41.8,97.8,8.7,48.5,43.2,45.6,,,,13,2021
223,RMIT University,40.0,94.3,100.0,9.8,35.0,37.6,60.2,,,,15,2021
275,Deakin University.,35.5,82.7,97.1,5.1,48.7,28.9,39.8,,,,16,2021
295,University of South Australia,34.5,61.2,100.0,23.4,50.4,24.4,17.2,,,,17,2021
303,Griffith University,34.1,40.3,99.5,12.4,52.9,28.9,22.8,,,,18,2021
308,University of Tasmania,33.5,98.1,83.6,19.1,58.1,19.8,8.8,,,,19,2021
372,Swinburne University of Technology,29.4,91.7,98.1,17.6,42.3,14.8,17.9,,,,20,2021
398,La Trobe University,28.1,96.8,96.4,7.8,32.6,20.0,22.4,,,,21,2021
414,Bond University,27.4,98.9,98.3,52.7,21.5,4.4,8.2,,,,22,2021
423,Flinders University,27.0,95.6,96.7,6.0,47.8,14.1,8.0,,,,23,2021
456,University of Canberra,25.4,78.4,98.2,4.0,41.9,15.0,12.0,,,,24,2021
462,James Cook University,25.3,51.6,90.0,8.1,48.5,14.2,11.0,,,,25,2021
474,Western Sydney University,25.0,59.1,100.0,7.7,26.4,19.0,24.4,,,,26,2021
551-560,Victoria University ,,86.0,45.8,,50.0,,,,,,27,2021
571-580,Murdoch University,,58.4,80.5,,38.8,,,,,,28,2021
591-600,Central Queensland University (CQUniversity Australia),,98.5,94.8,,,,,,,,29,2021
651-700,Edith Cowan University ,,88.2,62.1,,20.3,,,,,,30,2021
701-750,Charles Darwin University ,,88.9,58.9,,26.7,,,,,,31,2021
701-750,University of Southern Queensland,,43.4,72.6,,25.3,,,,,,31,2021
751-800,Southern Cross University ,,73.6,64.7,,27.7,,,,,,33,2021
801-1000,Australian Catholic University,,49.0,60.0,,,,,,,,34,2021
801-1000,Charles Sturt University ,,87.5,,,,,,,,,34,2021
801-1000,University of New England Australia,,,,,26.9,,,,,,34,2021
